date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20May%202020%2009:12:50%20GMT	http://hotelmoonpalace.in/robots.txt		(from )
14:42:50	8977/8977	---M-Z	200	added ('OK')	text/html	etag:%222311-5990860c71080-gzip%22	http://hotelmoonpalace.in/	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/index.html	(from )
14:42:50	109518/109518	---M--	200	added ('OK')	text/css	etag:%221abce-517fba03aee00%22	http://hotelmoonpalace.in/css/bootstrap.min.css	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/css/bootstrap.min.css	(from http://hotelmoonpalace.in/)
14:42:50	2542/2542	---M--	200	added ('OK')	text/css	etag:%229ee-517fba03aee00%22	http://hotelmoonpalace.in/css/carousel.css	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/css/carousel.css	(from http://hotelmoonpalace.in/)
14:42:52	71089/71089	---M--	200	added ('OK')	text/css	etag:%22115b1-517fb9eccb800%22	http://hotelmoonpalace.in/css/animate.css	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/css/animate.css	(from http://hotelmoonpalace.in/)
14:42:52	5775/5775	---M--	200	added ('OK')	text/css	etag:%22168f-517fba04a3040%22	http://hotelmoonpalace.in/css/custom.css	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/css/custom.css	(from http://hotelmoonpalace.in/)
14:42:53	8977/8977	---M-Z	200	added ('OK')	text/html	etag:%222311-5990860c71080-gzip%22	http://hotelmoonpalace.in/index.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/index-2.html	(from http://hotelmoonpalace.in/)
14:42:53	5519/5519	---M-Z	200	added ('OK')	text/html	etag:%22158f-5990862354680-gzip%22	http://hotelmoonpalace.in/accomodation.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/accomodation.html	(from http://hotelmoonpalace.in/)
14:42:53	5230/5230	---M-Z	200	added ('OK')	text/html	etag:%22146e-59908615fa700-gzip%22	http://hotelmoonpalace.in/food.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/food.html	(from http://hotelmoonpalace.in/)
14:42:53	5127/5127	---M-Z	200	added ('OK')	text/html	etag:%221407-5990861d9b900-gzip%22	http://hotelmoonpalace.in/events.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/events.html	(from http://hotelmoonpalace.in/)
14:42:53	5848/5848	---M-Z	200	added ('OK')	text/html	etag:%2216d8-599086131e040-gzip%22	http://hotelmoonpalace.in/photogallery.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/photogallery.html	(from http://hotelmoonpalace.in/)
14:42:54	4518/4518	---M-Z	200	added ('OK')	text/html	etag:%2211a6-5990861f83d80-gzip%22	http://hotelmoonpalace.in/contact.html	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/contact.html	(from http://hotelmoonpalace.in/)
14:43:08	86413/86413	---M--	200	added ('OK')	image/jpeg	etag:%221518d-517fb9a544f40%22	http://hotelmoonpalace.in/images/banner2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/banner2.jpg	(from http://hotelmoonpalace.in/)
14:43:12	18725/18725	---M--	200	added ('OK')	image/jpeg	etag:%224925-517fb9c4bd980%22	http://hotelmoonpalace.in/images/hotel.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/hotel.jpg	(from http://hotelmoonpalace.in/)
14:43:15	20641/20641	---M--	200	added ('OK')	image/jpeg	etag:%2250a1-517fb9c9824c0%22	http://hotelmoonpalace.in/images/imagef1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/imagef1.jpg	(from http://hotelmoonpalace.in/)
14:43:16	166675/166675	---M--	200	added ('OK')	image/jpeg	etag:%2228b13-517fb9aafdcc0%22	http://hotelmoonpalace.in/images/banner3.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/banner3.jpg	(from http://hotelmoonpalace.in/)
14:43:19	20633/20633	---M--	200	added ('OK')	image/jpeg	etag:%225099-517fb9cb6a940%22	http://hotelmoonpalace.in/images/imagef2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/imagef2.jpg	(from http://hotelmoonpalace.in/)
14:43:21	24052/24052	---M--	200	added ('OK')	image/jpeg	etag:%225df4-517fb9cd52dc0%22	http://hotelmoonpalace.in/images/imagef3.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/imagef3.jpg	(from http://hotelmoonpalace.in/)
14:43:21	1053/1053	---M--	200	added ('OK')	image/png	etag:%2241d-517fb9aece5c0%22	http://hotelmoonpalace.in/images/fbb.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/fbb.png	(from http://hotelmoonpalace.in/)
14:43:21	167993/167993	---M--	200	added ('OK')	image/jpeg	etag:%2229039-517fb9aece5c0%22	http://hotelmoonpalace.in/images/banner4.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/banner4.jpg	(from http://hotelmoonpalace.in/)
14:43:22	2035/2035	---M--	200	added ('OK')	image/png	etag:%227f3-517fb9de7d640%22	http://hotelmoonpalace.in/images/tww.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/tww.png	(from http://hotelmoonpalace.in/)
14:43:22	2438/2438	---M--	200	added ('OK')	image/png	etag:%22986-517fb9cd52dc0%22	http://hotelmoonpalace.in/images/inn.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/inn.png	(from http://hotelmoonpalace.in/)
14:43:22	19934/19934	---M--	200	added ('OK')	image/jpeg	etag:%224dde-517fb9c6a5e00%22	http://hotelmoonpalace.in/images/image4.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/image4.jpg	(from http://hotelmoonpalace.in/)
14:43:22	13354/13354	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20May%202020%2009:13:22%20GMT	http://hotelmoonpalace.in/sitemap.php	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/sitemap.html	(from http://hotelmoonpalace.in/)
14:43:22	2446/2446	---M--	200	added ('OK')	image/png	etag:%2298e-517fb9c0ed080%22	http://hotelmoonpalace.in/images/gg.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/gg.png	(from http://hotelmoonpalace.in/)
14:43:23	4674/4674	---M--	200	added ('OK')	image/png	etag:%221242-5952e01fdd580%22	http://hotelmoonpalace.in/Activebit_icon.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/Activebit_icon.png	(from http://hotelmoonpalace.in/)
14:43:23	320/320	---M--	200	added ('OK')	application/javascript	etag:%22140-517fb9a080400%22	http://hotelmoonpalace.in/js/scroll.js	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/js/scroll.js	(from http://hotelmoonpalace.in/)
14:43:24	9141/9141	---M--	200	added ('OK')	application/javascript	etag:%2223b5-517fb9a080400%22	http://hotelmoonpalace.in/js/easing.js	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/js/easing.js	(from http://hotelmoonpalace.in/)
14:43:26	15241/15241	---M--	200	added ('OK')	application/javascript	etag:%223b89-517fb9a174640%22	http://hotelmoonpalace.in/js/wow.js	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/js/wow.js	(from http://hotelmoonpalace.in/)
14:43:28	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-517fb9e24df40%22	http://hotelmoonpalace.in/fonts/glyphicons-halflings-regular.eot	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/fonts/glyphicons-halflings-regular.eot	(from http://hotelmoonpalace.in/css/bootstrap.min.css)
14:43:30	23320/23320	---M--	200	added ('OK')	application/x-font-woff	etag:%225b18-517fb9e8faf00%22	http://hotelmoonpalace.in/fonts/glyphicons-halflings-regular.woff	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/fonts/glyphicons-halflings-regular.woff	(from http://hotelmoonpalace.in/css/bootstrap.min.css)
14:43:31	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-517fb9e24df40%22	http://hotelmoonpalace.in/fonts/glyphicons-halflings-regular.eot?	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/fonts/glyphicons-halflings-regulard41d.eot	(from http://hotelmoonpalace.in/css/bootstrap.min.css)
14:43:32	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:%22f5cf-517fb9e52a600%22	http://hotelmoonpalace.in/fonts/glyphicons-halflings-regular.svg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/fonts/glyphicons-halflings-regular.svg	(from http://hotelmoonpalace.in/css/bootstrap.min.css)
14:43:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20May%202020%2009:13:33%20GMT	http://hotelmoonpalace.in/css/PIE-2.0beta1/PIE.htc	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/css/PIE-2.0beta1/PIE.htc	(from http://hotelmoonpalace.in/css/custom.css)
14:43:34	250905/250905	---M--	200	added ('OK')	image/jpeg	etag:%223d419-517fb9a915840%22	http://hotelmoonpalace.in/images/banner1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/banner1.jpg	(from http://hotelmoonpalace.in/)
14:43:35	2910/2910	---M--	200	added ('OK')	image/png	etag:%22b5e-517fb9a268880%22	http://hotelmoonpalace.in/images/arrow_left_tiny.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/arrow_left_tiny.png	(from http://hotelmoonpalace.in/css/custom.css)
14:43:35	9862/9862	---M--	200	added ('OK')	image/jpeg	etag:%222686-517fb9d3ffd80%22	http://hotelmoonpalace.in/images/MoonPalaceLogo.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/MoonPalaceLogo.jpg	(from http://hotelmoonpalace.in/css/custom.css)
14:43:35	1390/1390	---M--	200	added ('OK')	image/png	etag:%2256e-517fb9a268880%22	http://hotelmoonpalace.in/images/arroww.png	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/arroww.png	(from http://hotelmoonpalace.in/css/custom.css)
14:43:37	84245/84245	---M--	200	added ('OK')	application/javascript	etag:%2214915-517fb9a174640%22	http://hotelmoonpalace.in/js/jquery-2.1.1.min.js	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/js/jquery-2.1.1.min.js	(from http://hotelmoonpalace.in/)
14:43:37	8570/8570	---M--	200	added ('OK')	image/jpeg	etag:%22217a-517fb9a268880%22	http://hotelmoonpalace.in/images/acroom1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/acroom1.jpg	(from http://hotelmoonpalace.in/accomodation.html)
14:43:37	12300/12300	---M--	200	added ('OK')	image/jpeg	etag:%22300c-517fb9a268880%22	http://hotelmoonpalace.in/images/acroom2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/acroom2.jpg	(from http://hotelmoonpalace.in/accomodation.html)
14:43:37	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	etag:%22a140-517fb9e806cc0%22	http://hotelmoonpalace.in/fonts/glyphicons-halflings-regular.ttf	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/fonts/glyphicons-halflings-regular.ttf	(from http://hotelmoonpalace.in/css/bootstrap.min.css)
14:43:39	17748/17748	---M--	200	added ('OK')	image/jpeg	etag:%224554-517fb9d3ffd80%22	http://hotelmoonpalace.in/images/nonacroom.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/nonacroom.jpg	(from http://hotelmoonpalace.in/accomodation.html)
14:43:40	18159/18159	---M--	200	added ('OK')	image/jpeg	etag:%2246ef-517fb9d4f3fc0%22	http://hotelmoonpalace.in/images/nonacroom2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/nonacroom2.jpg	(from http://hotelmoonpalace.in/accomodation.html)
14:43:40	18255/18255	---M--	200	added ('OK')	image/jpeg	etag:%22474f-517fb9de7d640%22	http://hotelmoonpalace.in/images/veg1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/veg1.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:41	19422/19422	---M--	200	added ('OK')	image/jpeg	etag:%224bde-517fb9df71880%22	http://hotelmoonpalace.in/images/veg2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/veg2.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:43	20601/20601	---M--	200	added ('OK')	image/jpeg	etag:%225079-517fb9e065ac0%22	http://hotelmoonpalace.in/images/veg3.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/veg3.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:43	19389/19389	---M--	200	added ('OK')	image/jpeg	etag:%224bbd-517fb9e159d00%22	http://hotelmoonpalace.in/images/veg4.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/veg4.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:44	23448/23448	---M--	200	added ('OK')	image/jpeg	etag:%225b98-517fb9b1aac80%22	http://hotelmoonpalace.in/images/food1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/food1.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:45	22358/22358	---M--	200	added ('OK')	image/jpeg	etag:%225756-517fb9b1aac80%22	http://hotelmoonpalace.in/images/food2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/food2.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:46	24131/24131	---M--	200	added ('OK')	image/jpeg	etag:%225e43-517fb9b29eec0%22	http://hotelmoonpalace.in/images/food3.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/food3.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:47	23081/23081	---M--	200	added ('OK')	image/jpeg	etag:%225a29-517fb9b393100%22	http://hotelmoonpalace.in/images/food4.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/food4.jpg	(from http://hotelmoonpalace.in/food.html)
14:43:49	24765/24765	---M--	200	added ('OK')	image/jpeg	etag:%2260bd-517fb9c1e12c0%22	http://hotelmoonpalace.in/images/hall.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/hall.jpg	(from http://hotelmoonpalace.in/events.html)
14:43:49	11681/11681	---M--	200	added ('OK')	image/jpeg	etag:%222da1-517fb9ba400c0%22	http://hotelmoonpalace.in/images/gallery2.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/gallery2.jpg	(from http://hotelmoonpalace.in/photogallery.html)
14:43:49	30959/30959	---M--	200	added ('OK')	image/jpeg	etag:%2278ef-517fb9cf3b240%22	http://hotelmoonpalace.in/images/lawn.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/lawn.jpg	(from http://hotelmoonpalace.in/events.html)
14:43:49	17800/17800	---M--	200	added ('OK')	image/jpeg	etag:%224588-517fb9b763a00%22	http://hotelmoonpalace.in/images/gallery1.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/gallery1.jpg	(from http://hotelmoonpalace.in/photogallery.html)
14:43:51	16713/16713	---M--	200	added ('OK')	image/jpeg	etag:%224149-517fb9bb34300%22	http://hotelmoonpalace.in/images/gallery3.jpg	D:/Web%20Developer/PROJECTS/hotalmoonplace/hotelmoonpalace.in/images/gallery3.jpg	(from http://hotelmoonpalace.in/photogallery.html)
